D. Ahn, LLNL
N. Amato, Texas A&M
M. Anitescu, ANL
D. Arnold, UNM
S. Bagchi, Purdue
D. Bailey, LBL
A. Baker, LLNL
B. Barnes, Georgia
B. Bihari, LLNL
S. Biswas, LLNL
D. Boehme, RWTH Aachen
A. Bose, WSU
T. Bremer, LLNL
G. Bronevetsky, LLNL
L. Carrington, SDSC
D. Chavarr, PNNL
J. Chen, SNL
A. Cook, LLNL
B. de Supinski, LLNL
E. Draeger, LLNL
A. Dubey, Chicago
D. Elnozahy, IBM
M. Fagan, Rice
S. Fernandez, ORNL
R. Fowler, UNC
S. Futral, LLNL
J. Galarowicz, Krell
J. Glosli, LLNL
J. Gonzalez, BSC
W. Gropp, Illinois
J. Gunnels, IBM
J. Gyllenhaal, LLNL
B. Hachfeld, Krell
B. Hamann, UC Davis
M. Hall, Utah
R. Hedges, LLNL
T. Hilbrich, TU Dresden
J. Hollingsworth, UMD
T. Islam, Purdue
K. Karavanic, PDX
I. Laguna, Purdue
S. Langer, LLNL
O. Lavrova, UNM
G. Lee, LLNL
M. Legendre, LLNL
B. Liblit, Wisconsin
G. Llort, BSC
D. Lowenthal, Arizona
D. Maghrak, Krell
P. Mattson, NVIDIA
S. McKee, Chalmers
J. Mellor-Crummey, Rice
B. Miller, Wisconsin
K. Mohror, LLNL
D. Montoya, LANL
A. Moody, LLNL
F. Mueller, NCSU
M. Mueller, TU Dresden
B. Norris, ANL
L. Oliker, LBL
V. Pascucci, Utah
O. Pearce, LLNL
A. Pinar, SNL
A. Porterfield, RENCI
J. Prins, UNC
D. Quinlan, LLNL
P. Ratn, NCSU
D. Reed, MSR
P. Roth, ORNL
B. Rountree, LLNL
M. Schulz, LLNL
S. Shende, Paratools
A. Snavely, SDSC
W. Spear, Oregon
T. Spelce, LLNL
B. Still, LLNL
F. Streitz, LLNL
Z. Szebenyi, Aachen
N. Tallent, Rice
M. Taufer, Delaware
B. Tibbitts, IBM
M. Tikir, Google
A. Vo, Utah
F. Wolf, Aachen
P. Worley, ORNL
B. Wylie, Aachen
U. Yang, LLNL
